id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date
10035010035,RED DE SALUD MENTAL DE ARABA (HOSPITAL PSIQUIÁTRICO DE ARABA),,42.83612,-2.67895,-1,ÁLAVA,43,1006,VITORIA-GASTEIZ,ES,Spain,207,,,,PSIQUIÁTRICO,public,,945006555,SECRETARIA.GERENCIA@OSAKIDETZA.EUS,,01/01/19,03/04/2020
10040010040,HOSPITAL SAN JOSÉ,,42.84969,-2.67664,-1,BEATO TOMÁS DE ZUMÁRRAGA,10,1008,VITORIA-GASTEIZ,ES,Spain,63,,,,MÉDICO-QUIRÚRGICO,private,,945140900,DIAZDECORCUERAM@VITHAS.ES,,01/01/19,03/04/2020
10053010053,HOSPITAL QUIRÓNSALUD VITORIA,,42.84976,-2.66827,-1,ESPERANZA,3,1002,VITORIA-GASTEIZ,ES,Spain,26,,,,GENERAL,private,,945252500,JOSECARLOS.MELLADO@QUIRONSALUD.ES,,01/01/19,03/04/2020
10066010066,"HOSPITAL DE CUIDADOS SAN ONOFRE, S.L. (HOSPITAL DE CUIDADOS SAN ONOFRE)",,42.83695,-2.68053,-1,SALVATIERRABIDE,9,1007,VITORIA-GASTEIZ,ES,Spain,82,,,,GERIATRÍA Y/O LARGA ESTANCIA,private,,945142100,INFO@HOSPITALSANONOFRE.COM,,01/01/19,03/04/2020
10088010088,HOSPITAL DE LEZA,,42.55423,-2.58328,-1,CTRA VITORIA - LOGROÑO,"KM 59 ",1309,LAGUARDIA,ES,Spain,63,,,,GENERAL,public,,945006900,HOSPITAL.LEZA@OSAKIDETZA.EUS,,01/01/19,03/04/2020
10090010090,HOSPITAL UNIVERSITARIO DE ARABA (SEDE TXAGORRITXU Y SEDE SANTIAGO),,42.8564,-2.68866,-1,JOSÉ ATXOTEGUI,"S/N ",1009,VITORIA-GASTEIZ,ES,Spain,811,,,,GENERAL,public,,945007000,,,01/01/19,03/04/2020
20019020019,COMPLEJO HOSPITALARIO UNIVERSITARIO DE ALBACETE,,38.98716,-1.84843,-1,HERMANOS FALCÓ,37,2006,ALBACETE,ES,Spain,705,,,,GENERAL,public,,967597100,,,01/01/19,03/04/2020
20030020030,HOSPITAL GENERAL UNIVERSITARIO DE ALBACETE,,38.98716,-1.84843,-1,HERMANOS FALCÓ,37,2006,ALBACETE,ES,Spain,0,,,,GENERAL,public,,967597100,,,01/01/19,03/04/2020
20061020061,CLÍNICA SANTA CRISTINA ALBACETE,,38.98971,-1.85777,-1,PÉREZ GALDÓS,7,2003,ALBACETE,ES,Spain,42,,,,GENERAL,private,,967223300,SVILLANUEVA@CLINICASANTACRISTINA.ES,,01/01/19,03/04/2020
20096020096,HOSPITAL DE HELLÍN,,38.5019,-1.68805,-1,JUAN RAMÓN JIMÉNEZ,40,2400,HELLÍN,ES,Spain,135,,,,GENERAL,public,,967309500,GAI.HELLIN@SESCAM.JCCM.ES,,01/01/19,03/04/2020
20100020100,QUIRONSALUD HOSPITAL ALBACETE,,38.98542,-1.84407,-1,PLAZA DEL MADROÑO,11,2008,ALBACETE,ES,Spain,65,,,,GENERAL,private,,967247100,ALBACETE@QUIRONSALUD.ES,,01/01/19,03/04/2020
20117020117,HOSPITAL UNIVERSITARIO NUESTRA SEÑORA DEL PERPETUO SOCORRO,,38.9899431,-1.8714414,-1,SEMINARIO,4,2006,ALBACETE,ES,Spain,0,,,,GENERAL,public,,967597799,,,01/01/19,03/04/2020
