id,hospital_name,site_name,lat,lon,geo_qual,street,house_number,postcode,city,cc,country,cap_beds,cap_prac,cap_rooms,emergency,facility_type,public_private,list_specs,tel,email,url,ref_date,pub_date
10000024,CENTRE HOSPITALIER DE BOURG-EN-BRESSE FLEYRIAT,,46.2222,5.20879,1,ROUTE DE PARIS,900,01440,VIRIAT,FR,France,,,,,Centres Hospitaliers,public,,474454647,,,04/03/2020,01/04/2020
10000032,CENTRE HOSPITALIER DE BELLEY,,45.76121,5.68498,1,RUE GEORGES GIRERD,52,01300,BELLEY,FR,France,,,,,Centres Hospitaliers,public,,479425959,,,04/03/2020,01/04/2020
10000065,CENTRE HOSPITALIER DE TREVOUX - MONTPENSIER,,45.9410175,4.7718113,1,RUE DE L'HOPITAL,14,01606,TREVOUX,FR,France,,,,,Centres Hospitaliers,public,,474105000,,,04/03/2020,01/04/2020
10000081,CENTRE HOSPITALIER DU PAYS DE GEX,,46.3223,6.05781,1,RUE MARC PANISSOD,160,01174,GEX,FR,France,,,,,Hôpitaux Locaux,public,,450403838,,,04/03/2020,01/04/2020
10000099,CENTRE HOSPITALIER DE MEXIMIEUX,,45.90669,5.1947,1,AVENUE DU DOCTEUR BOYER,13,01800,MEXIMIEUX,FR,France,,,,,Hôpitaux Locaux,public,,474610177,,,04/03/2020,01/04/2020
10000107,CENTRE HOSPITALIER DE PONT DE VAUX,,46.43285,4.94664,1,CHEMIN DES NIVRES,,01190,PONT DE VAUX,FR,France,,,,,Hôpitaux Locaux,public,,385308000,,,04/03/2020,01/04/2020
10000115,CH INTERCOMMUNAL AIN VAL DE SAONE - PONT DE VEYLE,,46.2634,4.89012,1,RUE PIERRE GOUJON,,01290,PONT DE VEYLE,FR,France,,,,,Centres Hospitaliers,public,,385362350,,,04/03/2020,01/04/2020
10000131,CH INTERCOMMUNAL AIN VAL DE SAONE - THOISSEY,,46.17227,4.80419,1,RUE DE L HOPITAL,11,01140,THOISSEY,FR,France,,,,,Centres Hospitaliers,public,,474049900,,,04/03/2020,01/04/2020
10000180,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ESPERANCE,,45.97781,5.607,1,AVENUE FELIX MANGINI,,01110,HAUTEVILLE LOMPNES,FR,France,,,,,Centres Hospitaliers,public,,474408250,,,04/03/2020,01/04/2020
10000198,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE INTERDEPT,,45.97781,5.607,1,AVENUE FELIX MANGINI,,01110,HAUTEVILLE LOMPNES,FR,France,,,,,Centres Hospitaliers,public,,474408165,,,04/03/2020,01/04/2020
10000214,CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ALBARINE,,45.97781,5.607,1,AVENUE FELIX MANGINI,,01110,HAUTEVILLE LOMPNES,FR,France,,,,,Centres Hospitaliers,public,,474408169,,,04/03/2020,01/04/2020
10005239,CENTRE HOSPITALIER DU HAUT BUGEY - GEOVREISSET,,46.259603,5.629924,1,ROUTE DE VEYZIAT,1,01108,OYONNAX,FR,France,,,,,Centres Hospitaliers,public,,474731001,,,04/03/2020,01/04/2020
10009314,SSR HOTEL DIEU DE FLEYRIAT,,46.20131,5.23251,1,BOULEVARD DE BROU,47,01000,BOURG EN BRESSE,FR,France,,,,,Centres Hospitaliers,public,,474454647,,,04/03/2020,01/04/2020
10010163,LBM DU CH DE CHAMBERY AIX - SITE DE BELLEY,,45.76121,5.68498,1,RUE GEORGES GIRERD,52,01300,BELLEY,FR,France,,,,,Centres Hospitaliers,public,,479425966,,,04/03/2020,01/04/2020
